source_system,role,super_category,category,widget_url,api_url
Campaign performance,doctor,Reporting & Analytics,Reports & Insights,http://65.1.101.252/support/doctor/faq/reporting-analytics/reports-insights/widget/?embed=1,http://65.1.101.252/support/api/doctor/reporting-analytics/reports-insights/
Customer support,doctor,Campaign Operations,Sharing & Activation,http://65.1.101.252/support/doctor/faq/campaign-operations/sharing-activation/widget/?embed=1,http://65.1.101.252/support/api/doctor/campaign-operations/sharing-activation/
In-clinic,doctor,In-clinic / Access & Verification,Doctor Number Verification Screen,http://65.1.101.252/support/doctor/faq/in-clinic-access-verification/doctor-number-verification-screen/widget/?embed=1,http://65.1.101.252/support/api/doctor/in-clinic-access-verification/doctor-number-verification-screen/
In-clinic,doctor,In-clinic / Archives & Additional Materials,Archive Cards Section,http://65.1.101.252/support/doctor/faq/in-clinic-archives-additional-materials/archive-cards-section/widget/?embed=1,http://65.1.101.252/support/api/doctor/in-clinic-archives-additional-materials/archive-cards-section/
In-clinic,doctor,In-clinic / Content Viewing,Collateral Viewer Screen,http://65.1.101.252/support/doctor/faq/in-clinic-content-viewing/collateral-viewer-screen/widget/?embed=1,http://65.1.101.252/support/api/doctor/in-clinic-content-viewing/collateral-viewer-screen/
Patient Education,doctor,Patient Education / Access & Credentials,Doctor Credentials Email,http://65.1.101.252/support/doctor/faq/patient-education-access-credentials/doctor-credentials-email/widget/?embed=1,http://65.1.101.252/support/api/doctor/patient-education-access-credentials/doctor-credentials-email/
Patient Education,doctor,Patient Education / Login & Account Access,Doctor Login,http://65.1.101.252/support/doctor/faq/patient-education-login-account-access/doctor-login/widget/?embed=1,http://65.1.101.252/support/api/doctor/patient-education-login-account-access/doctor-login/
Patient Education,doctor,Patient Education / Sharing Setup,Share with Patient Form,http://65.1.101.252/support/doctor/faq/patient-education-sharing-setup/share-with-patient-form/widget/?embed=1,http://65.1.101.252/support/api/doctor/patient-education-sharing-setup/share-with-patient-form/
Patient Education,doctor,Patient Education / Video Selection & Search,Share Patient Education,http://65.1.101.252/support/doctor/faq/patient-education-video-selection-search/share-patient-education/widget/?embed=1,http://65.1.101.252/support/api/doctor/patient-education-video-selection-search/share-patient-education/
Patient Education,doctor,Patient Education / WhatsApp Message Sharing,Patient WhatsApp Message,http://65.1.101.252/support/doctor/faq/patient-education-whatsapp-message-sharing/patient-whatsapp-message/widget/?embed=1,http://65.1.101.252/support/api/doctor/patient-education-whatsapp-message-sharing/patient-whatsapp-message/
Red Flag Alert,doctor,Red Flag Alert / Access & Login,Clinic Login Screen,http://65.1.101.252/support/doctor/faq/red-flag-alert-access-login/clinic-login-screen/widget/?embed=1,http://65.1.101.252/support/api/doctor/red-flag-alert-access-login/clinic-login-screen/
Red Flag Alert,doctor,Red Flag Alert / Clinic & Staff Management,Add Clinic Staff,http://65.1.101.252/support/doctor/faq/red-flag-alert-clinic-staff-management/add-clinic-staff/widget/?embed=1,http://65.1.101.252/support/api/doctor/red-flag-alert-clinic-staff-management/add-clinic-staff/
Red Flag Alert,doctor,Red Flag Alert / Follow-ups & Reminders,Recommend Follow-Ups Page,http://65.1.101.252/support/doctor/faq/red-flag-alert-follow-ups-reminders/recommend-follow-ups-page/widget/?embed=1,http://65.1.101.252/support/api/doctor/red-flag-alert-follow-ups-reminders/recommend-follow-ups-page/
Red Flag Alert,doctor,Red Flag Alert / Follow-ups & Reminders,Recommend Follow-ups Entry Point,http://65.1.101.252/support/doctor/faq/red-flag-alert-follow-ups-reminders/recommend-follow-ups-entry-point/widget/?embed=1,http://65.1.101.252/support/api/doctor/red-flag-alert-follow-ups-reminders/recommend-follow-ups-entry-point/
Red Flag Alert,doctor,Red Flag Alert / Follow-ups & Reminders,Today’s Follow-Ups Table,http://65.1.101.252/support/doctor/faq/red-flag-alert-follow-ups-reminders/todays-follow-ups-table/widget/?embed=1,http://65.1.101.252/support/api/doctor/red-flag-alert-follow-ups-reminders/todays-follow-ups-table/
Red Flag Alert,doctor,Red Flag Alert / Reports & PDFs,Doctor Report Email - PDF Attachments & Password Instructions,http://65.1.101.252/support/doctor/faq/red-flag-alert-reports-pdfs/doctor-report-email-pdf-attachments-password-instructions/widget/?embed=1,http://65.1.101.252/support/api/doctor/red-flag-alert-reports-pdfs/doctor-report-email-pdf-attachments-password-instructions/
Red Flag Alert,doctor,Red Flag Alert / Reports & PDFs,Doctor Report Email - Red Flags & Patient Answers,http://65.1.101.252/support/doctor/faq/red-flag-alert-reports-pdfs/doctor-report-email-red-flags-patient-answers/widget/?embed=1,http://65.1.101.252/support/api/doctor/red-flag-alert-reports-pdfs/doctor-report-email-red-flags-patient-answers/
Red Flag Alert,doctor,Red Flag Alert / Sending Forms to Patients,Patient Phone Number Entry,http://65.1.101.252/support/doctor/faq/red-flag-alert-sending-forms-to-patients/patient-phone-number-entry/widget/?embed=1,http://65.1.101.252/support/api/doctor/red-flag-alert-sending-forms-to-patients/patient-phone-number-entry/
Red Flag Alert,doctor,Red Flag Alert / Sending Forms to Patients,Send Full System Link,http://65.1.101.252/support/doctor/faq/red-flag-alert-sending-forms-to-patients/send-full-system-link/widget/?embed=1,http://65.1.101.252/support/api/doctor/red-flag-alert-sending-forms-to-patients/send-full-system-link/
Red Flag Alert,doctor,Red Flag Alert / Sending Forms to Patients,Share a Single Form,http://65.1.101.252/support/doctor/faq/red-flag-alert-sending-forms-to-patients/share-a-single-form/widget/?embed=1,http://65.1.101.252/support/api/doctor/red-flag-alert-sending-forms-to-patients/share-a-single-form/
Campaign performance,clinic_staff,Reporting & Analytics,Reports & Insights,http://65.1.101.252/support/clinic_staff/faq/reporting-analytics/reports-insights/widget/?embed=1,http://65.1.101.252/support/api/clinic_staff/reporting-analytics/reports-insights/
Customer support,clinic_staff,Campaign Operations,Sharing & Activation,http://65.1.101.252/support/clinic_staff/faq/campaign-operations/sharing-activation/widget/?embed=1,http://65.1.101.252/support/api/clinic_staff/campaign-operations/sharing-activation/
Campaign performance,brand_manager,Reporting & Analytics,Reports & Insights,http://65.1.101.252/support/brand_manager/faq/reporting-analytics/reports-insights/widget/?embed=1,http://65.1.101.252/support/api/brand_manager/reporting-analytics/reports-insights/
Customer support,brand_manager,Access & Login,Authentication,http://65.1.101.252/support/brand_manager/faq/access-login/authentication/widget/?embed=1,http://65.1.101.252/support/api/brand_manager/access-login/authentication/
Customer support,brand_manager,Campaign Operations,Sharing & Activation,http://65.1.101.252/support/brand_manager/faq/campaign-operations/sharing-activation/widget/?embed=1,http://65.1.101.252/support/api/brand_manager/campaign-operations/sharing-activation/
Campaign performance,field_rep,Reporting & Analytics,Reports & Insights,http://65.1.101.252/support/field_rep/faq/reporting-analytics/reports-insights/widget/?embed=1,http://65.1.101.252/support/api/field_rep/reporting-analytics/reports-insights/
Customer support,field_rep,Access & Login,Authentication,http://65.1.101.252/support/field_rep/faq/access-login/authentication/widget/?embed=1,http://65.1.101.252/support/api/field_rep/access-login/authentication/
Customer support,field_rep,Campaign Operations,Sharing & Activation,http://65.1.101.252/support/field_rep/faq/campaign-operations/sharing-activation/widget/?embed=1,http://65.1.101.252/support/api/field_rep/campaign-operations/sharing-activation/
In-clinic,field_rep,In-clinic / Collateral Sharing,Assigned Doctors List,http://65.1.101.252/support/field_rep/faq/in-clinic-collateral-sharing/assigned-doctors-list/widget/?embed=1,http://65.1.101.252/support/api/field_rep/in-clinic-collateral-sharing/assigned-doctors-list/
In-clinic,field_rep,In-clinic / Collateral Sharing,Share Collaterals Form,http://65.1.101.252/support/field_rep/faq/in-clinic-collateral-sharing/share-collaterals-form/widget/?embed=1,http://65.1.101.252/support/api/field_rep/in-clinic-collateral-sharing/share-collaterals-form/
In-clinic,field_rep,In-clinic / Recruitment & Access,Field Rep Gmail Login,http://65.1.101.252/support/field_rep/faq/in-clinic-recruitment-access/field-rep-gmail-login/widget/?embed=1,http://65.1.101.252/support/api/field_rep/in-clinic-recruitment-access/field-rep-gmail-login/
In-clinic,field_rep,In-clinic / Registration & Account Setup,Field Rep Registration,http://65.1.101.252/support/field_rep/faq/in-clinic-registration-account-setup/field-rep-registration/widget/?embed=1,http://65.1.101.252/support/api/field_rep/in-clinic-registration-account-setup/field-rep-registration/
